INFO 2026-05-11 00:57:30,721 autoreload 15604 8472 Watching for file changes with StatReloader
INFO 2026-05-11 01:02:24,623 log 15604 8716 "OPTIONS /api/placements/dashboard/ HTTP/1.1" 200 0
INFO 2026-05-11 01:02:24,623 log 15604 15408 "OPTIONS /api/logbook/dashboard/ HTTP/1.1" 200 0
INFO 2026-05-11 01:02:24,627 log 15604 3780 "OPTIONS /api/logbook/dashboard/ HTTP/1.1" 200 0
INFO 2026-05-11 01:02:24,628 log 15604 4916 "OPTIONS /api/evaluations/score/3/ HTTP/1.1" 200 0
INFO 2026-05-11 01:02:24,628 log 15604 15476 "OPTIONS /api/evaluations/score/3/ HTTP/1.1" 200 0
INFO 2026-05-11 01:02:24,632 log 15604 7332 "OPTIONS /api/placements/dashboard/ HTTP/1.1" 200 0
WARNING 2026-05-11 01:02:25,113 log 15604 8716 Unauthorized: /api/placements/dashboard/
WARNING 2026-05-11 01:02:25,118 log 15604 15476 Unauthorized: /api/evaluations/score/3/
WARNING 2026-05-11 01:02:25,119 log 15604 8716 "GET /api/placements/dashboard/ HTTP/1.1" 401 84
WARNING 2026-05-11 01:02:25,119 log 15604 15476 "GET /api/evaluations/score/3/ HTTP/1.1" 401 84
WARNING 2026-05-11 01:02:25,131 log 15604 15476 Unauthorized: /api/placements/dashboard/
INFO 2026-05-11 01:02:25,131 log 15604 4916 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2026-05-11 01:02:25,132 log 15604 3780 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
WARNING 2026-05-11 01:02:25,137 log 15604 8716 Unauthorized: /api/evaluations/score/3/
WARNING 2026-05-11 01:02:25,136 log 15604 15476 "GET /api/placements/dashboard/ HTTP/1.1" 401 84
WARNING 2026-05-11 01:02:25,143 log 15604 8716 "GET /api/evaluations/score/3/ HTTP/1.1" 401 84
WARNING 2026-05-11 01:02:25,149 log 15604 4916 Bad Request: /api/token/refresh/
WARNING 2026-05-11 01:02:25,150 log 15604 4916 "POST /api/token/refresh/ HTTP/1.1" 400 160
WARNING 2026-05-11 01:02:25,153 log 15604 3780 Bad Request: /api/token/refresh/
WARNING 2026-05-11 01:02:25,155 log 15604 3780 "POST /api/token/refresh/ HTTP/1.1" 400 160
